query,category
"Offbeat places for solo travelers","Adventure"
"Luxury desert camps","Desert"
"River cruise and nature","Nature"
"Heritage hotels and royal stay","Heritage"
"Himalayan trekking expeditions","Adventure"
"Beach volleyball and fun","Beach"
"Meditation centers in South India","Spiritual"
"Photography of ancient ruins","Heritage"
"Eco tourism and sustainability","Nature"
"Rock climbing and Rappelling","Adventure"
"Traditional festivals and culture","Cultural"
"Buddhist circuit pilgrimage","Spiritual"
"Nature trails and mountain air","Nature"
"Beach shacks and nightlife","Beach"
"Forts of Maharashtra history","Heritage"
"Trekking through the jungle","Adventure"
"Peaceful valley and flowers","Nature"
"White water rafting thrill","Adventure"
"Art and architecture of Hampi","Heritage"
"Yoga teacher training course","Spiritual"
"Backwaters and coconut trees","Nature"
"Hill station with cool breeze","Hill Station"
"French food and lifestyle","Cultural"
"Ancient sun temple visit","Heritage"
"Honeymoon in the desert","Desert"
"Adventure trip to Spiti valley","Adventure"
"Beach stay with sea view","Beach"
"Spiritual journey to Char Dham","Spiritual"
"Lush greenery of Kerala","Nature"
"History of the Marathas","Heritage"
"Camping in the Himalayas","Adventure"
"Yoga and meditation on a budget","Spiritual"
"Tea estate luxury stay","Nature"
"Beach sports for groups","Beach"
"Ancient cities of India","Heritage"
"Nature photography and trekking","Nature"
"Adrenaline rush adventure","Adventure"
"Cultural immersion program","Cultural"
"Spiritual vibes and positive energy","Spiritual"
"Mountain peaks and valleys","Hill Station"
"Best beaches for swimming","Beach"
"History of South Indian Kings","Heritage"
"Trekking to mysterious lakes","Adventure"
"Yoga and healthy living","Spiritual"
"Lush green hills of North East","Nature"
"Sandy beaches and palm trees","Beach"
"Architecture of the Taj Mahal","Heritage"
"Adventure in the snow","Adventure"
"Quiet time in the forest","Nature"
"Traditional crafts of Rajasthan","Cultural"
"Buddhist monks and chants","Spiritual"
"Mountain sunrise views","Hill Station"
"Deep sea diving adventure","Adventure"
"Ruins and history of Hampi","Heritage"
"Peaceful backwater cruise","Nature"
"Historic forts of Rajasthan","Heritage"
"Adventure in the Thar desert","Adventure"
"Spiritual bliss in Varanasi","Spiritual"
"Hills of Western Ghats","Nature"
"White sand and blue ocean","Beach"
"Royal palaces of Jaipur","Heritage"
"Trekking in the Western Ghats","Adventure"
"Yoga and nature retreat","Spiritual"
"Wildlife in the Jim Corbett","Nature"
"Beach party in North Goa","Beach"
"Architecture of South India","Heritage"
"Adventure in Leh Ladakh","Adventure"
"Spiritual vibes of Haridwar","Spiritual"
"Greenery of Munnar hills","Nature"
"Beaches of Andaman and Nicobar","Beach"
"History of the Red Fort","Heritage"
"Paragliding in Bir Billing","Adventure"
"Yoga in Rishikesh ashrams","Spiritual"
"Tea gardens of Darjeeling","Nature"
"Sunset at Kanyakumari","Nature"
"Temples of Khajuraho","Heritage"
"Adventure in Manali mountains","Adventure"
"Spirituality in Bodh Gaya","Spiritual"
"Backwaters of Alleppey Kerala","Nature"
"Beaches of Varkala Kerala","Beach"
"History of the Ajanta Caves","Heritage"
"Skiing in Gulmarg Kashmir","Adventure"
"Meditation in Dharamshala","Spiritual"
"Nature in Coorg Karnataka","Nature"
"Beaches of Gokarna Karnataka","Beach"
"Architecture of Konark Temple","Heritage"
"Rafting in Zanskar river","Adventure"
"Spiritual places in India","Spiritual"
"Nature and wildlife tours","Nature"
"Beach and sun vacations","Beach"
"Heritage and history trips","Heritage"
"Adventure and thrill seeking","Adventure"
